is_weekend,start_station,end_station,hour,omega
0,2,47,15,2.8
0,2,47,16,4.199999999999999
0,2,47,20,1.4
0,2,47,22,1.4
0,2,48,20,1.4
0,2,49,0,1.4
0,2,49,8,2.8
0,2,49,11,1.4
0,2,49,14,2.8
0,2,49,17,2.8
0,2,49,18,1.4
0,2,49,19,2.8
0,2,49,21,1.4
0,2,49,22,2.8
0,3,3,15,1.4
0,3,3,18,2.8
0,3,4,18,1.4
0,3,5,14,1.4
0,3,21,16,1.4
0,3,38,10,1.4
0,3,44,13,1.4
0,4,2,0,1.4
0,4,2,2,1.4
0,4,2,14,2.8
0,4,2,18,1.4
0,4,2,19,1.4
0,4,2,20,1.4
0,4,2,22,1.4
0,4,2,23,1.4
0,4,4,0,9.799999999999999
0,4,4,1,7.0
0,4,4,2,7.0
0,4,4,3,7.0
0,4,4,4,1.4
0,4,4,5,4.199999999999999
0,4,4,6,4.199999999999999
0,4,4,7,1.4
0,4,4,8,4.199999999999999
0,4,4,9,4.199999999999999
0,4,4,10,7.0
0,4,4,11,8.399999999999999
0,4,4,12,12.6
0,4,4,13,8.399999999999999
0,4,4,14,9.799999999999999
0,4,4,15,11.2
0,4,4,16,14.0
0,4,4,17,11.2
0,4,4,18,8.399999999999999
0,4,4,19,15.399999999999999
0,4,4,20,11.2
0,4,4,21,16.799999999999997
0,4,4,22,15.399999999999999
0,4,4,23,11.2
0,4,5,0,1.4
0,4,5,12,1.4
0,4,5,13,1.4
0,4,5,18,1.4
0,4,6,1,1.4
0,4,6,9,5.6
0,4,6,10,5.6
0,4,6,11,2.8
0,4,6,13,1.4
0,4,6,18,1.4
0,4,6,20,2.8
0,4,6,23,1.4
0,4,9,4,1.4
0,4,9,9,1.4
0,4,9,13,1.4
0,4,9,14,1.4
0,4,9,17,1.4
0,4,9,18,1.4
0,4,9,20,1.4
0,4,9,23,2.8
0,4,11,20,1.4
0,4,11,21,1.4
0,4,12,1,1.4
0,4,12,8,2.8
0,4,12,11,1.4
0,4,12,13,1.4
0,4,12,15,2.8
0,4,12,17,1.4
0,4,12,18,1.4
0,4,12,19,4.199999999999999
0,4,12,21,2.8
0,4,12,22,1.4
0,4,14,2,1.4
0,4,14,8,1.4
0,4,14,10,1.4
0,4,14,12,2.8
0,4,14,14,1.4
0,4,14,15,2.8
0,4,14,16,1.4
0,4,14,17,2.8
0,4,14,18,1.4
0,4,15,9,1.4
0,4,17,20,1.4
0,4,19,13,4.199999999999999
0,4,19,18,1.4
0,4,19,23,1.4
0,4,21,10,1.4
0,4,21,11,1.4
0,4,21,12,1.4
0,4,21,17,1.4
0,4,21,19,1.4
0,4,21,23,1.4
0,4,22,22,1.4
0,4,23,13,1.4
0,4,23,14,1.4
0,4,23,19,1.4
0,4,23,22,1.4
0,4,24,9,1.4
0,4,24,15,2.8
0,4,24,21,1.4
0,4,25,10,1.4
0,4,25,11,2.8
0,4,25,12,1.4
0,4,25,15,1.4
0,4,25,16,1.4
0,4,25,17,2.8
0,4,25,20,1.4
0,4,26,11,1.4
0,4,26,18,1.4
0,4,27,7,1.4
0,4,27,11,1.4
0,4,27,12,4.199999999999999
0,4,27,13,1.4
0,4,27,14,4.199999999999999
0,4,27,15,2.8
0,4,27,16,1.4
0,4,27,17,1.4
0,4,27,21,1.4
0,4,27,22,1.4
0,4,27,23,1.4
0,4,28,0,1.4
0,4,28,16,1.4
0,4,28,19,1.4
0,4,28,21,1.4
0,4,28,22,1.4
0,4,29,12,1.4
0,4,29,14,1.4
0,4,29,15,1.4
