,0,1
0,0.08174603174603175,0.09556313993174062
1,0.07040572792362769,0.09259259259259259
2,0.053488372093023255,0.09271523178807947
3,0.09266409266409266,0.09973753280839895
4,0.06666666666666667,0.10919540229885058
5,0.08421052631578947,0.07246376811594203
6,0.0728476821192053,0.136986301369863
7,0.09951845906902086,0.056451612903225805
8,0.07865168539325842,0.08108108108108109
9,0.07604017216642754,0.07462686567164178
10,0.068715322236449,0.07509386733416772
11,0.07573529411764705,0.08222811671087533
12,0.0778511921861534,0.08900190718372536
13,0.06758272574312955,0.10257847533632287
14,0.07992036405005688,0.09693877551020408
15,0.07378129117259552,0.10076670317634173
16,0.08540925266903915,0.1008955223880597
17,0.08803222094361335,0.09891512444160817
18,0.0854553301683211,0.09890965732087227
19,0.08461323652611002,0.08723021582733813
20,0.07739101047651234,0.08870967741935484
21,0.08356545961002786,0.09547738693467336
22,0.08443271767810026,0.09081934846989141
23,0.07800829875518672,0.08677248677248678
