is_weekend,start_station,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1,1.4,0.0,1.4,2.8,0.0,1.4,0.0,1.4,1.4,0.0,0.0,0.0,0.0,1.4,0.0,1.4,4.199999999999999,1.4,1.4,1.4,1.4,1.4,2.8,2.8
0,2,8.399999999999999,7.0,4.199999999999999,2.8,2.8,1.4,2.8,1.4,2.8,4.199999999999999,2.8,2.8,5.6,4.199999999999999,2.8,4.199999999999999,5.6,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,4.199999999999999,11.2
0,3,1.4,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,4.199999999999999,1.4,1.4,1.4,1.4,1.4
0,4,8.399999999999999,8.399999999999999,15.399999999999999,9.799999999999999,4.199999999999999,9.799999999999999,8.399999999999999,5.6,8.399999999999999,8.399999999999999,8.399999999999999,9.799999999999999,9.799999999999999,8.399999999999999,8.399999999999999,11.2,14.0,14.0,14.0,15.399999999999999,11.2,15.399999999999999,21.0,12.6
0,5,4.199999999999999,12.6,7.0,4.199999999999999,2.8,5.6,2.8,2.8,2.8,2.8,2.8,4.199999999999999,5.6,2.8,5.6,5.6,5.6,7.0,5.6,11.2,7.0,9.799999999999999,7.0,9.799999999999999
0,6,5.6,5.6,4.199999999999999,4.199999999999999,4.199999999999999,2.8,0.0,2.8,5.6,2.8,2.8,4.199999999999999,4.199999999999999,4.199999999999999,7.0,7.0,8.399999999999999,8.399999999999999,8.399999999999999,7.0,7.0,5.6,9.799999999999999,11.2
0,7,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0
0,8,5.6,5.6,2.8,2.8,1.4,1.4,2.8,2.8,2.8,2.8,2.8,2.8,18.2,39.199999999999996,11.2,18.2,4.199999999999999,8.399999999999999,5.6,11.2,5.6,4.199999999999999,8.399999999999999,7.0
0,9,21.0,11.2,8.399999999999999,7.0,8.399999999999999,7.0,5.6,4.199999999999999,9.799999999999999,9.799999999999999,11.2,16.799999999999997,19.599999999999998,23.799999999999997,14.0,19.599999999999998,18.2,22.4,23.799999999999997,23.799999999999997,25.2,26.599999999999998,23.799999999999997,32.199999999999996
0,10,1.4,1.4,4.199999999999999,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,2.8,1.4,2.8,2.8,1.4,2.8,2.8,2.8,1.4,1.4,1.4,1.4
