is_weekend,end_station,end_power_class,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,1,high,0.0,0.0,1.4,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,2.0999999999999996,1.4,1.4,0.0,0.0,1.4,1.4,1.8666666666666665,1.4,2.8,2.0999999999999996
0,1,inactive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,1.4,0.0,0.0,1.4,1.4,0.0
0,1,low,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4,1.4,0.0,0.0,0.0,1.4,0.0,0.0,1.4
0,2,high,1.7062499999999998,1.7975308641975303,1.6624999999999999,1.4,1.68,1.4,1.4,1.4378378378378376,1.4736842105263157,1.5365853658536586,1.664864864864865,1.612121212121212,1.4874999999999998,1.6745098039215685,1.5884615384615384,1.6754098360655736,1.5852941176470587,1.5944444444444443,1.6599999999999997,1.7454545454545454,1.7555555555555553,1.8222222222222222,1.7134328358208955,1.9478260869565216
0,2,inactive,1.6333333333333333,1.4666666666666666,1.4,1.75,0.0,0.0,1.4,1.4,1.5166666666666664,1.68,1.4,1.4933333333333336,1.4999999999999998,1.5272727272727271,1.7230769230769232,1.4,1.4636363636363634,1.5272727272727271,1.4,1.5076923076923074,1.5076923076923074,1.4823529411764704,1.4538461538461536,1.4538461538461536
0,2,low,1.4823529411764704,1.512,1.4,1.4,1.4,0.0,1.4,1.4933333333333336,1.4,1.4,1.4,1.4,1.4,1.8666666666666665,1.4874999999999998,1.54,1.4777777777777776,1.4538461538461536,1.5999999999999999,1.4,1.5647058823529412,1.4,1.8083333333333333,1.5647058823529412
0,3,high,1.4,1.4,0.0,1.4,0.0,0.0,1.4,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.75,1.4,0.0,1.4
0,3,inactive,1.4,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,1.4,0.0,1.4,0.0,1.4,1.4,1.4,0.0,1.4,1.4,1.4,1.4,0.0,0.0
0,3,low,1.4,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.8666666666666665,0.0,1.4,1.4,0.0,0.0
0,4,high,4.5210526315789465,4.876666666666666,4.97,9.333333333333334,4.199999999999999,3.266666666666666,4.199999999999999,4.2518518518518515,4.384848484848485,4.572121212121212,4.841666666666666,4.73763440860215,4.584012539184954,4.61010101010101,4.721111111111111,4.714081996434937,5.132411067193676,4.890926876987038,5.193725490196079,5.337776252573782,4.624242424242424,4.620543710866292,4.633589743589744,4.8331704138155756
