,0,1
0,0.3793103448275862,0.3561643835616438
1,0.5,0.4117647058823529
2,0.5263157894736842,0.4375
3,0.18181818181818182,0.3333333333333333
4,0.46153846153846156,0.2857142857142857
5,0.2,0.4
6,0.5,0.25
7,0.3225806451612903,0.5
8,0.31666666666666665,0.3333333333333333
9,0.3302752293577982,0.22727272727272727
10,0.3333333333333333,0.358974358974359
11,0.29365079365079366,0.3018867924528302
12,0.28640776699029125,0.4027777777777778
13,0.33183856502242154,0.4214876033057851
14,0.3516483516483517,0.375
15,0.35064935064935066,0.3669064748201439
16,0.34375,0.34234234234234234
17,0.3776978417266187,0.39344262295081966
18,0.4476987447698745,0.38271604938271603
19,0.3565217391304348,0.3958333333333333
20,0.3010204081632653,0.3448275862068966
21,0.3651685393258427,0.358974358974359
22,0.3780487804878049,0.38961038961038963
23,0.3225806451612903,0.43373493975903615
